Type,Instance,Radii,Lengths,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 7,Instance 15,[1.838],[30.0],10.000000000000036,83.95971332432546,105.6692698811142,1.0,0.0,0.0
Type 7,Instance 16,[1.838],[30.0],10.000000000000036,240.9370262597962,128.0946003004671,1.0,0.0,0.0
Type 7,Instance 17,[1.838],[30.0],10.000000000000036,212.1044585777709,237.65835749216296,1.0,0.0,0.0
Type 7,Instance 18,[1.838],[30.0],10.000000000000036,137.13978260450534,288.2755318672739,1.0,0.0,0.0
Type 7,Instance 19,[1.838],[30.0],10.000000000000036,107.66649119621287,207.54434235760328,1.0,0.0,0.0
Type 7,Instance 20,[1.838],[30.0],10.000000000000036,201.8528789574953,87.72900554563184,1.0,0.0,0.0
Type 7,Instance 21,[1.838],[30.0],609.9999999999932,199.2528789575167,90.32900554563113,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 7,Instance 22,[1.838],[30.0],609.9999999999952,105.06649119623721,210.1443423576049,1.0,3.126388037344441e-14,5.684341886080802e-15
Type 7,Instance 23,[1.838],[30.0],609.9999999999939,134.53978260453164,290.8755318672748,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 7,Instance 24,[1.838],[30.0],609.9999999999918,209.50445857779596,240.25835749216202,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 7,Instance 25,[1.838],[30.0],609.9999999999916,238.33702625981857,130.69460030046548,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 7,Instance 26,[1.838],[30.0],609.9999999999966,81.35971332434731,108.2692698811164,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 7,Instance 27,[1.838],[30.0],609.9999999999861,394.6736154690243,226.16243551427846,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 7,Instance 28,[1.838],[30.0],609.9999999999905,283.18768709852316,75.59235984148287,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 29,[1.838],[30.0],609.9999999999884,296.0021616238739,329.31895544330456,1.0,3.031649005909761e-14,5.684341886080802e-15
Type 7,Instance 30,[1.838],[30.0],609.9999999999905,238.33702625982278,302.40855894008234,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 7,Instance 31,[1.838],[30.0],609.9999999999902,240.93702625982274,299.80855894008226,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 32,[1.838],[30.0],609.9999999999884,298.6021616238738,326.7189554433045,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 33,[1.838],[30.0],609.9999999999905,285.78768709852307,72.99235984148282,1.0,3.031649005909761e-14,7.105427357601002e-15
Type 7,Instance 34,[1.838],[30.0],609.9999999999859,397.2736154690242,223.56243551427843,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 7,Instance 35,[1.838],[30.0],609.9999999999966,83.95971332434723,105.66926988111635,1.0,3.173757553061781e-14,7.105427357601002e-15
Type 7,Instance 36,[1.838],[30.0],609.9999999999916,240.93702625981854,128.0946003004654,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 37,[1.838],[30.0],609.9999999999916,212.10445857779592,237.65835749216194,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 38,[1.838],[30.0],609.9999999999936,137.1397826045316,288.2755318672747,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 39,[1.838],[30.0],609.9999999999952,107.66649119623713,207.54434235760482,1.0,3.173757553061781e-14,7.579122514774402e-15
Type 7,Instance 40,[1.838],[30.0],609.999999999993,201.85287895751668,87.72900554563108,1.0,3.031649005909761e-14,7.105427357601002e-15
Type 8,Instance 1,[9.073],[30.0],40.000000000000036,320.3827867241766,290.2378373999883,-1.0,0.0,0.0
Type 8,Instance 2,[9.073],[30.0],40.000000000000036,291.7621626000117,278.3827867241766,-1.0,0.0,0.0
Type 8,Instance 3,[9.073],[30.0],639.999999999988,320.3827867242038,290.2378373999848,-1.0,-3.031649005909761e-14,-7.579122514774402e-15
Type 8,Instance 4,[9.073],[30.0],639.9999999999889,291.7621626000387,278.3827867241738,-1.0,-3.221127068779121e-14,-3.789561257387201e-15
Type 9,Instance 1,[16.766],[30.0],40.000000000000036,323.8550506758117,128.1449493241884,-1.0,0.0,0.0
Type 9,Instance 2,[16.766],[30.0],639.9999999999889,323.85505067583506,128.14494932418484,-1.0,-3.221127068779121e-14,-6.631732200427602e-15
Type 10,Instance 1,[3.827],[30.0],40.000000000000036,13.464466094067227,383.53553390593277,-1.0,0.0,0.0
Type 10,Instance 2,[3.827],[30.0],40.000000000000036,18.464466094067266,21.464466094067255,-1.0,0.0,0.0
Type 10,Instance 3,[3.827],[30.0],40.000000000000036,490.53553390593265,388.53553390593277,-1.0,0.0,0.0
Type 10,Instance 4,[3.827],[30.0],639.999999999997,13.46446609409674,383.53553390593675,-1.0,-3.138230416273776e-14,-7.579122514774402e-15
Type 10,Instance 5,[3.827],[30.0],639.9999999999993,18.464466094087935,21.464466094071206,-1.0,-3.150072795203111e-14,-6.868579779014302e-15
Type 10,Instance 6,[3.827],[30.0],639.9999999999818,490.5355339059624,388.5355339059251,-1.0,-3.031649005909761e-14,-7.579122514774402e-15
Type 11,Instance 1,[1.951],[30.0],40.000000000000036,496.61939766255637,207.22871846190554,-1.0,0.0,0.0
Type 11,Instance 2,[1.951],[30.0],40.000000000000036,313.30681544402734,21.845068431510857,-1.0,0.0,0.0
Type 11,Instance 3,[1.951],[30.0],639.999999999983,496.6193976625816,207.22871846189776,-1.0,-3.031649005909761e-14,-6.631732200427602e-15
Type 11,Instance 4,[1.951],[30.0],639.99999999999,313.3068154440481,21.8450684315076,-1.0,-3.221127068779121e-14,-6.868579779014302e-15
Type 12,Instance 1,[2.97],[20.0],627.0999999999999,245.76,20.0,0.0,0.0,-1.0
Type 12,Instance 2,[2.97],[20.0],627.0999999999999,79.9,20.0,0.0,0.0,-1.0
Type 12,Instance 3,[2.97],[20.0],27.099999999999998,79.89999999999998,20.0,0.0,0.0,-1.0
Type 12,Instance 4,[2.97],[20.0],27.100000000000005,245.76,20.0,0.0,0.0,-1.0
Type 12,Instance 5,[2.97],[20.0],22.899999999999995,249.95999999999998,20.0,0.0,0.0,-1.0
Type 12,Instance 6,[2.97],[20.0],22.900000000000002,84.1,20.0,0.0,0.0,-1.0
